Event Date,First Name,Last Name,Position,Height,Weight,Wingspan,Hand Span,Reach,10,20,40,5_10_5_10,5_10_5_20,3_Cone,VJ_Max,VJ_VJ,Broad Jump,40 P,VJ_P,BJ_P,Shuttle_P,Total P,PI Grade,Name,,,,,
1/5/24,Aja,Bradford,DB,0,165,67.75,9.25,83.75,1.734,2.839,4.838,2.492,4.619,,124,31.75,109,44.57,52.32,44,,,,Aja Bradford,,,,,
1/5/24,George,Brewton,DB,72.5,204,76.75,9.5,95.5,,,,2.612,4.842,,109,25.25,102,,40.36,41.73,,,,George Brewton,,,,,
1/5/24,Sterling,Bright,TE,73.5,275,76.5,9.75,97.5,1.71,2.815,4.775,2.385,4.43,,130,34.5,116,54.17,64.38,53.48,,,,Sterling Bright,,,,,
1/5/24,Cameron,Brooks,DL,73,250,78.75,9.78,96,,,,2.812,5.31,,117.5,20,98,,53.26,59.51,,,,Cameron Brooks,,,,,
1/5/24,Carmello,Brooks,DL,71,155,75.75,8.5,94.25,1.809,2.993,5.116,2.639,4.901,,119.5,23.5,98,56.07,53.99,53.85,,,,Carmello Brooks,,,,,
1/5/24,Jaidan,Brooks,WR,75,197,80,10.25,96.25,1.758,2.897,4.976,2.408,4.597,,123.5,29.25,110,37.88,41.26,39.34,,,,Jaidan Brooks,,,,,
1/5/24,Reese,Brooks,WR,69.5,171,70.25,9,90,1.783,2.858,4.919,2.436,4.573,,129,32.75,114,46.15,56.87,48.66,,,,Reese Brooks,,,,,
1/5/24,Cibastian,Broughton,QB,75.5,205,78,9.25,98,1.711,2.823,4.804,2.617,4.754,,121.5,31.5,115,45.33,51.49,47.28,,,,Cibastian Broughton,,,,,
1/5/24,Jamar,Browder,WR,72.5,177,76,8.75,95.25,1.86,2.945,5.048,2.265,4.408,,128,30,116,42.3,53.02,51.35,,,,Jamar Browder,,,,,
1/5/24,Brandon,Brown,WR,70.5,170,73,9.25,91,1.788,2.92,4.983,2.315,4.567,,122,26.75,118,41.12,40.98,48.1,,,,Brandon Brown,,,,,
1/5/24,Brenden,Brown,WR,67.5,150,67.5,8.25,86,1.765,2.909,4.99,2.493,4.649,,124,33,115,41.05,53.51,46.25,,,,Brenden Brown,,,,,
1/5/24,Bryce,Brown,WR,70.8,170,72.25,9.5,90.25,1.705,2.796,4.802,2.321,4.38,,114,28,106,40.18,40.08,38.59,,,,Bryce Brown,,,,,
1/5/24,Cayden,Brown,DB,72.8,185,73,9.5,93,1.786,2.929,5.005,2.529,4.669,,119,28.75,106,39.62,44.52,40.82,,,,Cayden Brown,,,,,
1/5/24,Jax,Brown,QB,70.8,170,73.75,9.25,92.75,1.806,2.994,5.234,2.453,4.725,,118.5,25.5,108,41.7,40.37,44.03,,,,Jax Brown,,,,,
1/5/24,Michael,Brown,WR,70.2,165,71.5,8.5,89.75,1.687,2.75,4.69,2.513,4.631,,119.5,26.75,112,47.02,40.4,44.28,,,,Michael Brown,,,,,
1/5/24,Noah,Brown,WR,71.2,225,75.25,9.75,90.5,1.801,2.963,5.054,2.36,4.498,,120,30.25,116,37.5,46.71,45.85,,,,Noah Brown,,,,,
1/5/24,Vashon,Brunswick,LB,68.8,195,71,8.75,90,1.739,2.941,5.248,2.314,4.607,,120,29.5,103,56.81,60.89,52.1,,,,Vashon Brunswick,,,,,
1/5/24,Connor,Buchanan,QB,73.2,190,78.5,9.25,97,1.961,3.197,5.518,2.736,5.268,,112.5,22.5,91,34.34,40.11,39.8,,,,Connor Buchanan,,,,,
1/5/24,Jaylen,Burrell,DB,71.8,213,76,9,93.75,1.721,2.866,5.005,2.437,4.579,,127,30,114,49.49,50.7,48.38,,,,Jaylen Burrell,,,,,
1/5/24,Quincy,Butts,LB,69.8,210,71.25,9.5,91,1.842,2.99,5.09,2.356,4.682,,121.5,27.75,102,45.25,53.51,48.14,,,,Quincy Butts,,,,,
1/5/24,Tyvonn,Byars,RB,72.8,301,69.25,9,92.25,1.633,2.712,4.69,2.198,4.266,,122.5,31.5,124,64.03,61.99,61.68,,,,Tyvonn Byars,,,,,
1/5/24,Bo,Cagle,OL,71.5,250,76.25,9.5,94,1.941,3.241,5.788,2.708,5.208,,115,22.75,90,54.65,66.64,61.74,,,,Bo Cagle,,,,,
1/5/24,Ayden,Cain,DL,72.2,187,76,8,93.75,1.946,3.238,5.589,2.781,5.21,,114,20,92,45.05,47.96,51.57,,,,Ayden Cain,,,,,
1/5/24,Simeon,Caldwell,DB,67.8,165,69,8.25,86.75,1.688,2.76,4.709,2.516,4.781,,124,30.25,117,51.63,51.18,50.18,,,,Simeon Caldwell,,,,,
1/5/24,Tatein,Calhoon,WR,64.8,175,67.25,9.25,86,1.768,2.927,5.026,2.491,4.687,,117,30.25,103,39.64,48.61,40.25,,,,Tatein Calhoon,,,,,
1/5/24,Dedric,Callis,RB,65,145,67.25,8.5,84,1.739,2.861,4.944,2.464,4.786,,116,30,105,44.19,53.21,46.2,,,,Dedric Callis,,,,,
1/5/24,Caleb,Calvin,WR,69.2,190,71.5,9.85,84.75,1.736,2.899,5.093,2.463,4.667,,108.5,24.5,103,36.8,33.47,37.62,,,,Caleb Calvin,,,,,
1/5/24,Harper,Campbell,LB,72.2,185,74.5,9.5,94.75,1.769,2.911,4.961,2.492,4.744,,120.5,35.75,111,45.57,65.71,49.81,,,,Harper Campbell,,,,,
1/5/24,Hunter,Campbell,QB,69.2,175,70,8.5,87.25,,,,2.431,4.556,,123,28.25,110,,46.51,45.66,,,,Hunter Campbell,,,,,
1/5/24,Caleb,Cappuccio,WR,69.8,180,70.25,8.75,88,1.671,2.757,4.67,2.274,4.315,,117,29.75,117,49.8,49.22,49.64,,,,Caleb Cappuccio,,,,,
1/5/24,Austin,Carlisle,QB,71.8,241,76.5,8.75,93.25,,,,2.257,4.264,,117,29,114,,48.58,48.65,,,,Austin Carlisle,,,,,
1/5/24,Juleone,Carney,DL,70.8,164,75.25,9.25,92.5,1.894,3.115,5.443,3.086,5.505,,116.5,23.25,93,47.1,51.94,49.73,,,,Juleone Carney,,,,,
1/5/24,KyMani,Carpenter,DB,71.8,176,75.25,9,92.75,1.81,2.906,4.903,2.586,4.761,,125.5,33,109,36.72,51.63,41.1,,,,KyMani Carpenter,,,,,
1/5/24,Devin,Carson,DB,72,208,74.25,9.25,93.25,1.828,2.989,5.097,2.689,5.139,,120,27.25,110,38.26,42.29,43.79,,,,Devin Carson,,,,,
1/5/24,Malcolm,Carter,QB,69.5,210,72,8.25,90,1.91,3.103,5.339,2.693,4.944,,116,22.75,98,39.64,41.67,44.46,,,,Malcolm Carter,,,,,
1/5/24,Anthony,Casale,LB,66,240,67.5,9.5,85.25,1.78,2.949,5.071,2.335,4.429,,119,29,105,49.44,57.07,50.96,,,,Anthony Casale,,,,,
1/5/24,Nathan,Castro,OL,68.5,153,69.25,7.75,86.5,2.12,3.591,6.468,2.829,5.536,,97.5,12.25,62,33.45,33.59,36.19,,,,Nathan Castro,,,,,
1/5/24,Alvin,Celestin,RB,70.8,210,73,9,93,1.675,2.745,4.692,2.372,4.41,,118.5,32,113,43.23,48.35,42.56,,,,Alvin Celestin,,,,,
1/5/24,Alex,Chambers,ATH,68.5,160,70.25,8.75,88.75,1.897,3.111,5.342,2.591,4.822,,119,26,100,40.85,49.87,47.05,,,,Alex Chambers,,,,,
1/5/24,Tyler,Chaney,DB,67.5,173,72.75,8.75,89.5,1.693,2.831,4.865,,,,118,29.25,108,43.78,44.62,41.37,,,,Tyler Chaney,,,,,
1/5/24,Keyonn,Chatman,RB,71.5,185,73.75,8.25,92,1.808,2.928,4.991,2.6,4.77,,114,24.5,95,38.87,39.2,37.81,,,,Keyonn Chatman,,,,,
1/5/24,Matthew,Ciers,DB,67,160,66.75,0,86.25,1.731,2.848,4.857,2.204,4.382,,122,30,118,47.36,50.67,50.82,,,,Matthew Ciers,,,,,
1/5/24,Carson,Clark,WR,68.8,170,72.75,8.5,90.5,,,,2.367,4.366,,117.5,31.25,116,,49.92,47.17,,,,Carson Clark,,,,,
1/5/24,TyJae,Clark,WR,0,170,73.25,9.5,92.25,1.754,2.873,4.949,2.526,4.653,,119.5,29,104,41.83,46.62,41.25,,,,TyJae Clark,,,,,
1/5/24,Shane,Cole,QB,0,180,77.5,9.75,94,1.002,2.872,4.933,2.54,4.677,,120,27.75,102,100,41.67,37.72,,,,Shane Cole,,,,,
1/5/24,Bryce,Coleman,WR,69.5,225,74.75,9.25,91.25,1.796,2.983,5.184,2.599,4.824,,124.5,30.5,104,41.26,48.75,39.96,,,,Bryce Coleman,,,,,
1/5/24,Emmanuel,Coleman,DL,68.2,154,68.25,8.25,86,1.911,3.176,5.567,2.694,5.031,,116.5,25.25,98,42.81,53.48,50.56,,,,Emmanuel Coleman,,,,,
1/5/24,Karson,Collatt,WR,68.8,195,67.5,8.75,87.25,1.684,2.765,4.758,2.533,4.58,,115,29,112,42.82,42.69,42.46,,,,Karson Collatt,,,,,
1/5/24,Christian,Collins,RB,67.2,175,0,7.75,83.5,1.817,2.973,5.078,2.35,4.502,,115,27.75,109,43.16,50.92,50.19,,,,Christian Collins,,,,,
1/5/24,DIvion,Collins,DB,68.5,160,73.25,8.5,90,1.706,2.838,4.842,2.493,4.639,,112,28.5,93,46.8,48.23,37.38,,,,DIvion Collins,,,,,
1/5/24,Jadarian,Collins,WR,70,205,73.25,9.25,90.25,1.744,2.836,4.866,2.246,4.354,,120,30,105,40.05,46.16,39.64,,,,Jadarian Collins,,,,,
1/5/24,Brayson,Cornick,LB,64.8,130,66.75,9,83.75,1.877,3.037,5.219,2.498,4.835,,119,28.75,108,41.16,54.79,51.09,,,,Brayson Cornick,,,,,
1/5/24,Drake,Coronado,QB,68.8,167,69.75,9.5,88.25,1.635,2.76,4.826,2.398,4.557,,113.5,29.75,110,39.49,40.31,38.18,,,,Drake Coronado,,,,,
1/5/24,Peter,Costantino,QB,68.2,185,72.25,8.5,88.25,1.892,3.079,5.31,2.724,5.05,,0,,96,32.74,-195.77,35.91,,,,Peter Costantino,,,,,
1/5/24,Keynan,Cotton,WR,70.5,150,72.25,9.25,91.5,1.689,2.788,4.741,2.404,4.554,,122,33.75,112,50.98,61.01,49.97,,,,Keynan Cotton,,,,,
1/5/24,Cannon,Cowhey,QB,65.5,140,69.75,8.75,86.5,1.921,3.166,5.056,2.504,4.762,,113,21.5,98,28.1,24.32,31.6,,,,Cannon Cowhey,,,,,
1/5/24,Alem,Cox,WR,72.5,223,75.25,9.25,95.25,1.793,2.976,5.141,2.381,4.561,,114,27.5,102,32.25,37.88,35.44,,,,Alem Cox,,,,,
1/5/24,Caius,Coy,DL,71,192,73.25,9.75,92.75,1.74,2.893,4.984,2.397,4.581,,122.5,27.25,110,56.21,54.68,54.62,,,,Caius Coy,,,,,
1/5/24,Joseph,Credit,LB,0,175,69.25,9.5,86.5,1.765,2.892,4.95,2.316,4.391,,126,33.25,112,46.37,59.69,49.45,,,,Joseph Credit,,,,,
1/5/24,Austin,Crittenden,RB,74.2,180,75.75,9.75,95,1.733,2.857,4.92,2.46,4.686,,115,28.5,107,44.65,47.75,44.98,,,,Austin Crittenden,,,,,
1/5/24,Alexander,Cross,WR,70,205,75.25,9.5,91.75,,,,,,,,,,,-210.37,,,,,Alexander Cross,,,,,
1/5/24,Donovan,Crow,RB,68.2,165,70.5,9.25,87.75,1.651,2.719,4.692,2.465,4.545,,119.5,27.75,116,60.49,52.73,55.7,,,,Donovan Crow,,,,,
1/5/24,Caleb,Cruz,DB,,,,,,,,,2.351,4.434,,115,27.25,109,,42.11,43.4,,,,Caleb Cruz,,,,,
1/5/24,JZavien,Currence,DB,72,170,73,8.5,93.25,,,,,,,,,,,,,,,,JZavien Currence,,,,,
1/5/24,Carson,Currie,WR,69.5,170,75.25,9.25,90.25,1.849,2.986,5.109,2.641,4.823,,119,25.75,109,35.71,37.39,41.6,,,,Carson Currie,,,,,
1/5/24,Lex,Cyrus,WR,75.8,170,79.25,10.5,98.25,1.73,2.777,4.689,2.35,4.506,,128,37.75,120,43.6,64.09,49.93,,,,Lex Cyrus,,,,,
1/5/24,Corey,Dailey,QB,71.5,180,77.25,8.75,95,1.958,3.218,5.56,2.506,4.91,,122.5,24.25,101,30.07,31.3,33.99,,,,Corey Dailey,,,,,
1/5/24,Cayden,Daniels,DB,71.8,186,74.25,9,91.5,1.741,2.858,4.873,2.435,4.646,,128,33,118,45.29,55.48,49.61,,,,Cayden Daniels,,,,,
1/5/24,Tre,Darden,ATH,69,160,69.75,8.5,88.75,1.001,2.936,4.957,2.323,4.36,,0,,114,100,-199.61,48.52,,,,Tre Darden,,,,,
1/5/24,Jonavon,Darrington,DB,67.5,160,69,9,87,1.84,2.954,5.002,2.479,4.695,,118.5,29.75,105,34.1,45.25,39.25,,,,Jonavon Darrington,,,,,
1/5/24,Chase,Davis,DB,74,160,74,8.75,97.25,,,,,,,115,28,,,42.83,,,,,Chase Davis,,,,,
1/5/24,Chase,Davis,DB,73.2,180,73,9.25,92.75,1.839,3.072,5.386,2.822,5.391,,121.5,24.25,95,34.16,29.97,29.53,,,,Chase Davis,,,,,
1/5/24,Drew,Davis,QB,69.2,270,74.25,9.75,92.5,1.77,2.892,4.922,2.43,4.697,,123.5,30.75,113,43.1,49.5,45.39,,,,Drew Davis,,,,,
1/5/24,Jacob,Davis,DL,73.5,170,76.25,9.5,94.5,2.077,3.382,5.91,3.127,5.96,,116.5,24,95,40.01,63.52,59.96,,,,Jacob Davis,,,,,
1/5/24,Jacob,Davis,DL,69.5,182,73.25,9,92.5,1.846,3.026,5.241,2.439,4.642,,120,25.5,105,35.88,35.69,38.11,,,,Jacob Davis,,,,,
1/5/24,Marquez,Davis,RB,72.2,250,78.75,9.25,96.5,1.717,2.849,4.944,2.277,4.524,,125,32.5,124,47.74,56.58,55.14,,,,Marquez Davis,,,,,
1/5/24,JeKai,Dawson,OL,71.8,184,73.5,9.75,92,2.077,3.485,6.03,2.758,5.332,,118,21.5,83,37.05,50.5,45.83,,,,JeKai Dawson,,,,,
1/5/24,Albert,De,RB,71.5,205,72,9.25,92.5,,,,2.469,4.724,,124,32,114,,54.28,48.04,,,,Albert De,,,,,
1/5/24,Jace,Deakins,LB,68.5,160,69.5,8.75,86.25,1.79,2.966,5.139,2.589,4.555,,116,23.5,100,47.46,42.79,45.29,,,,Jace Deakins,,,,,
1/5/24,Omar,Dela Garza,ATH,71.8,187,77,9.38,95,1.82,2.959,5.065,2.523,4.622,,116.5,30.25,105,35.24,46.68,39.64,,,,Omar Dela Garza,,,,,
1/5/24,Matthew,Dial,QB,67.5,190,75.25,9.5,90,1.737,2.943,5.086,,,,121,26,105,47.38,42.74,43.57,,,,Matthew Dial,,,,,
1/5/24,Zephaniah,Diamond,WR,66.8,208,71.75,9,88,1.862,3.044,5.232,2.413,4.75,,113,23,98,39.08,40.79,43.66,,,,Zephaniah Diamond,,,,,
1/5/24,Lazaro,Diaz,DL,,,,,,1.995,3.293,5.715,2.623,4.838,,108.5,20.5,95,34.78,41.14,46.84,,,,Lazaro Diaz,,,,,
1/5/24,Darius,Dicks,DB,72,185,76.5,9.25,94.5,,,,,,,,,,,,,,,,Darius Dicks,,,,,
1/5/24,Xavier,Dillard,DB,67.8,165,0,9,87.25,1.708,2.832,4.842,2.546,4.7,,122,27.5,104,49.3,45.13,42.35,,,,Xavier Dillard,,,,,
1/5/24,Cannon,Dinger,WR,67.8,150,68,8,87.25,1.762,2.894,4.968,2.459,4.647,,114,26.75,105,40.05,41.39,41.4,,,,Cannon Dinger,,,,,
1/5/24,Cole,Dipersio,WR,66.2,170,69,8.75,87.25,1.879,3.021,5.147,2.62,4.8,,114,26.75,104,30.02,37.27,37.19,,,,Cole Dipersio,,,,,
1/5/24,Tracy,Doughty,WR,73,335,77.5,10.25,96,1.703,2.802,4.765,2.357,4.389,,116,28.75,109,45.7,48.16,46.19,,,,Tracy Doughty,,,,,
1/5/24,Michael,Douglas,DL,72,215,73.25,9,90.75,2.076,3.531,6.477,2.345,5.203,,117.5,21.5,78,49.72,73.26,62.9,,,,Michael Douglas,,,,,
1/5/24,Jacob,Doyle,RB,70.8,170,75.25,8.75,92.75,1.672,2.777,4.782,2.491,4.617,,120,29.25,114,61.08,56.99,55.39,,,,Jacob Doyle,,,,,
1/5/24,Jontue,Drayton,DB,74.5,195,73.75,8.75,93,1.836,3.014,5.208,2.453,4.625,,120,27.25,106,36.47,41.43,40.82,,,,Jontue Drayton,,,,,
1/5/24,George,Duggins,DB,67.2,180,70.75,9.75,89.5,1.746,2.887,4.949,2.44,4.605,,125.5,32.5,117,48.65,56.2,50.3,,,,George Duggins,,,,,
1/5/24,DeAndre,Dukes,RB,71.5,215,74.75,9.25,93.5,1.851,3.055,5.234,2.669,5.103,,114,24.5,105,37.69,41.36,45.51,,,,DeAndre Dukes,,,,,
1/5/24,Khori,Echols,LB,70.2,175,73.25,10.2,92.5,1.749,2.96,5.094,2.54,4.859,,118.5,25,106,53.36,48.63,51.17,,,,Khori Echols,,,,,
1/5/24,Braylon,Edwards,DB,67.8,196,71,8.75,88,1.754,2.905,5.012,2.261,4.336,,122,29.5,115,43.06,47.92,47.7,,,,Braylon Edwards,,,,,
1/5/24,Jevon,Edwards,RB,70.75,205,71.75,8,92.25,1.689,2.773,4.774,2.408,4.464,,119,31,111,54.01,58.68,52.37,,,,Jevon Edwards,,,,,
1/5/24,Jojo,Edwards,LB,77,235,81.5,9.75,98,3.847,5.042,7.307,2.458,4.658,,0,,97,4.78,-195.09,44.15,,,,Jojo Edwards,,,,,
1/5/24,Kaleb,Edwards,TE,74.8,285,77,8.75,95,1.787,2.931,5.014,2.667,4.856,,130,32,112,54.68,64.21,55.13,,,,Kaleb Edwards,,,,,
1/5/24,Matthew,Eliason,OL,76.8,250,83.5,10.25,99.25,2.179,3.46,5.873,3.097,5.594,,116.5,21.5,82,36.58,58.08,51.67,,,,Matthew Eliason,,,,,
1/5/24,Jayden,Elijah,OL,69.8,227,71.5,8.5,91.5,1.832,3.062,5.282,2.82,5.365,,131,31.75,102,53.99,67.98,53.15,,,,Jayden Elijah,,,,,
