CLASS,Event Date,First Name,Last Name,Position,Height,Weight,Wingspan,Hand Span,Reach,10,20,40,5_10_5_10,5_10_5_20,3_Cone,VJ_Max,VJ_VJ,Broad Jump,40 P,VJ_P,BJ_P,Shuttle_P,Total P,PI Grade,Name
2017,1/5/17,Nolan,Potter,OL,78,241,76,,,1.953,3.176,5.41,2.77,4.968,8.162,,,95,42.96,,45.98,50,139,34.82,Nolan Potter
2017,1/5/17,Spencer,Burford,OL,76,,81,,,2.03,3.326,5.785,2.526,4.879,8.245,,24,97,,,,,0,0,Spencer Burford
2017,1/5/17,Marcus,Carroll,RB ,69,,72,,,1.789,2.971,5.119,2.547,4.778,7.961,,26.5,102,,,,,0,0,Marcus Carroll
2017,1/5/17,Jordan,Byrd,KR,68,,67,,,1.699,2.765,4.668,2.242,4.248,7.625,,,124,,,,,0,0,Jordan Byrd
2016,1/6/16,Darius,Hodge,DE,74.3,248,78.8,10.125,,1.644,2.817,4.844,2.298,4.457,7.386,,33,104,74.11,72.02,55.84,72,274,68.42,Darius Hodge
2016,1/6/16,Kairee,Robinson,RB,67,185,67,,,1.396,2.471,4.548,2.184,4.32,7.243,,33.5,102,90.29,61.44,45.15,59,256,63.91,Kairee Robinson
2016,1/6/16,Curtis,Blackwell,OL,78,306,77,10.5,,2.031,3.319,5.747,2.459,4.673,8.553,,26,83,48.5,70.6,54.81,77,251,62.67,Curtis Blackwell
2016,1/6/16,Bryant,Koback,RB,71.8,192,73.5,9.625,,1.618,2.664,4.657,1.946,4.263,6.694,,36,112,60.19,64.76,48.86,63,237,59.32,Bryant Koback
2016,1/6/16,Treylen,Brown,OL,73.5,275,75,9.125,,1.925,3.178,5.489,2.577,4.933,8.461,,27.5,88,51.19,68.71,53.74,59,232,58.07,Treylen Brown
2016,1/6/16,Daniel,George,WR,73.5,198,78,10.25,,1.697,2.771,4.78,2.215,4.255,7.159,,37,110,53.8,67.09,47.78,66,234,58.62,Daniel George
2016,1/6/16,Tim,Jones,WR,73.8,192,74.5,9,,1.628,2.745,4.743,2.196,4.314,6.509,,38.5,107,59.13,68.33,44.4,61,233,58.27,Tim Jones
2016,1/6/16,Nico,Bolden,DB,74.8,196,73,10.375,,1.72,2.782,4.819,2.29,4.35,7.345,,35.5,108,51.15,62.46,45.15,61,220,54.93,Nico Bolden
2016,1/6/16,Dallas,Gant,LB,75.8,200,77.5,9.875,,1.73,2.854,4.939,2.324,4.6,7.461,,38.5,97,51.29,68.95,38.99,53,212,52.96,Dallas Gant
2016,1/6/16,Emmanuel,Michel,RB,69,189,69.8,9.5,,1.737,2.907,5,2.24,4.273,,,31.5,97,47.88,56.84,41.65,62,208,52.1,Emmanuel Michel
2016,1/6/16,Kyle,Vantrease,QB ,74.8,215,74.3,10.125,,1.902,3.095,5.291,2.375,4.572,7.218,,29,101,41.49,54.3,45.72,58,199,49.78,Kyle Vantrease
2016,1/6/16,Shea,Baker,OL,73.8,261,75,10.5,,2.051,3.398,5.763,2.684,5.261,8.487,,25,91,40.17,59.51,51.88,46,197,49.36,Shea Baker
2016,1/6/16,Brian,Cobbs,WR,74.3,185,73.3,9.75,,1.798,3.034,5.199,2.285,4.494,6.836,,30,97,42.26,48.5,36.54,52,179,44.87,Brian Cobbs
2016,1/6/16,Jordan,Byrd,KR,68.8,160,66,8.5,,1.797,2.867,4.825,2.296,4.343,7.115,,33,104,36.61,52.14,38.87,50,178,44.41,Jordan Byrd
2016,1/6/16,Jack,Murphy,OL ,74,228,74.5,9.25,,2.169,3.64,6.356,2.71,5.296,8.261,,20,74,29.68,39.93,33.88,39,143,35.7,Jack Murphy
